file_name,url,neighborhood,district,service,title_length,meta_length,status,timestamp
bolgelerkadikoyrasimpasa-ev-tekstili-temizligi.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/rasimpasa-ev-tekstili-temizligi.html,Rasimpaşa,Kadıköy,Ev Tekstili Temizliği,52,140,success,2025-08-16T19:48:01.731519
bolgelerkadikoyrasimpasa-canta-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/rasimpasa-canta-temizleme.html,Rasimpaşa,Kadıköy,Çanta Temizleme,46,134,success,2025-08-16T19:48:01.732805
bolgelerkadikoyrasimpasa-kumas-deri-boyama.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/rasimpasa-kumas-deri-boyama.html,Rasimpaşa,Kadıköy,Kumaş Deri Boyama,48,136,success,2025-08-16T19:48:01.734024
bolgelerkadikoyrasimpasa-lostra-hizmeti.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/rasimpasa-lostra-hizmeti.html,Rasimpaşa,Kadıköy,Lostra Hizmeti,45,133,success,2025-08-16T19:48:01.735177
bolgelerkadikoyrasimpasa-utu-hizmetleri.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/rasimpasa-utu-hizmetleri.html,Rasimpaşa,Kadıköy,Ütü Hizmetleri,45,133,success,2025-08-16T19:48:01.736499
bolgelerkadikoyzuhtupasa-kuru-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/zuhtupasa-kuru-temizleme.html,Zühtüpaşa,Kadıköy,Kuru Temizleme,45,133,success,2025-08-16T19:48:01.737763
bolgelerkadikoyzuhtupasa-gelinlik-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/zuhtupasa-gelinlik-temizleme.html,Zühtüpaşa,Kadıköy,Gelinlik Temizleme,49,137,success,2025-08-16T19:48:01.738817
bolgelerkadikoyzuhtupasa-abiye-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/zuhtupasa-abiye-temizleme.html,Zühtüpaşa,Kadıköy,Abiye Temizleme,46,134,success,2025-08-16T19:48:01.740024
bolgelerkadikoyzuhtupasa-valiz-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/zuhtupasa-valiz-temizleme.html,Zühtüpaşa,Kadıköy,Valiz Temizleme,46,134,success,2025-08-16T19:48:01.741439
bolgelerkadikoyzuhtupasa-bavul-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/zuhtupasa-bavul-temizleme.html,Zühtüpaşa,Kadıköy,Bavul Temizleme,46,134,success,2025-08-16T19:48:01.742959
